Date,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,LT.NS,RELIANCE.NS,SBIN.NS,TCS.NS
2021-02-01,568.4768676757812,1476.75,2248.60009765625,603.7999877929688,1260.9000244140625,215.9499969482422,1448.8499755859375,1749.361328125,310.70001220703125,3139.35009765625
2021-02-02,588.3045654296875,1560.550048828125,2230.449951171875,617.3499755859375,1271.25,218.1999969482422,1520.199951171875,1777.5128173828125,333.1000061035156,3203.449951171875
2021-02-03,597.6295166015625,1574.800048828125,2232.85009765625,622.3499755859375,1284.6500244140625,216.75,1528.550048828125,1781.9893798828125,335.95001220703125,3200.050048828125
2021-02-04,589.5315551757812,1579.0999755859375,2245.60009765625,628.2999877929688,1279.3499755859375,229.9499969482422,1529.800048828125,1776.1282958984375,355.1000061035156,3188.449951171875
2021-02-05,570.3909301757812,1597.5999755859375,2269.550048828125,614.1500244140625,1272.0999755859375,234.35000610351562,1516.5,1775.62060546875,393.1000061035156,3157.949951171875
2021-02-08,586.2923583984375,1605.25,2236.64990234375,629.5999755859375,1303.550048828125,233.10000610351562,1551.800048828125,1801.187744140625,397.04998779296875,3214.10009765625
2021-02-09,587.9119262695312,1611.8499755859375,2216.25,633.3499755859375,1305.550048828125,229.0,1566.449951171875,1805.5257568359375,394.79998779296875,3176.89990234375
2021-02-10,579.3231811523438,1581.75,2235.5,632.1500244140625,1296.5,227.5500030517578,1552.8499755859375,1822.2781982421875,392.25,3213.300048828125
2021-02-11,587.07763671875,1572.3499755859375,2263.0,630.6500244140625,1292.6500244140625,226.4499969482422,1530.5,1897.410400390625,390.1499938964844,3206.0
2021-02-12,575.4459838867188,1581.949951171875,2241.550048828125,647.5999755859375,1309.800048828125,217.4499969482422,1521.3499755859375,1884.3961181640625,393.1499938964844,3190.800048828125
2021-02-15,582.7587280273438,1616.5999755859375,2215.199951171875,673.9500122070312,1309.6500244140625,218.60000610351562,1537.6500244140625,1876.089111328125,406.95001220703125,3139.85009765625
2021-02-16,583.0040893554688,1626.6500244140625,2196.10009765625,658.3499755859375,1290.4000244140625,218.25,1549.449951171875,1900.9178466796875,402.3500061035156,3108.800048828125
2021-02-17,582.9059448242188,1586.5,2163.89990234375,657.3499755859375,1281.300048828125,217.75,1548.3499755859375,1922.839111328125,411.75,3073.10009765625
2021-02-18,578.1943969726562,1554.300048828125,2146.85009765625,644.6500244140625,1292.449951171875,218.85000610351562,1524.5999755859375,1908.4864501953125,415.20001220703125,3057.35009765625
2021-02-19,570.6362915039062,1539.0999755859375,2181.10009765625,624.0499877929688,1291.300048828125,215.9499969482422,1508.800048828125,1920.1162109375,399.54998779296875,3071.85009765625
2021-02-22,559.7899169921875,1548.0,2167.60009765625,609.8499755859375,1265.199951171875,207.0500030517578,1452.199951171875,1853.4757080078125,389.5,2958.449951171875
2021-02-23,555.1275024414062,1529.1500244140625,2179.25,616.2999877929688,1266.3499755859375,208.5,1486.300048828125,1867.6436767578125,395.6000061035156,2980.199951171875
2021-02-24,562.39111328125,1606.449951171875,2178.85009765625,641.0999755859375,1274.300048828125,208.85000610351562,1526.5999755859375,1902.3023681640625,406.25,2948.10009765625
2021-02-25,568.4768676757812,1606.4000244140625,2163.300048828125,628.0,1274.550048828125,209.14999389648438,1506.449951171875,1979.234375,407.25,2995.300048828125
2021-02-26,546.0479736328125,1534.4000244140625,2132.050048828125,597.75,1253.300048828125,203.85000610351562,1442.5,1925.1927490234375,390.1499938964844,2894.300048828125
2021-03-01,522.39208984375,1558.9000244140625,2143.39990234375,608.3499755859375,1267.0,206.89999389648438,1472.8499755859375,1939.868408203125,394.95001220703125,2924.199951171875
2021-03-02,531.2262573242188,1568.199951171875,2177.949951171875,610.5,1304.5,209.89999389648438,1485.6500244140625,1943.8372802734375,394.20001220703125,3006.35009765625
2021-03-03,536.2322387695312,1586.8499755859375,2193.5,632.0999755859375,1343.550048828125,209.9499969482422,1496.9000244140625,2032.53759765625,405.04998779296875,3059.10009765625
2021-03-04,529.6557006835938,1552.050048828125,2196.89990234375,620.75,1330.3499755859375,209.6999969482422,1462.5999755859375,2008.308837890625,395.6499938964844,3049.699951171875
2021-03-05,522.9810180664062,1530.0,2201.10009765625,609.4500122070312,1316.699951171875,208.5500030517578,1463.550048828125,2010.9393310546875,383.6499938964844,3008.050048828125
2021-03-08,516.0119018554688,1519.5,2174.550048828125,608.0499877929688,1335.75,208.0,1515.199951171875,2022.3846435546875,389.6000061035156,3006.949951171875
2021-03-09,512.1346435546875,1562.5,2198.5,625.0999755859375,1345.550048828125,207.8000030517578,1508.300048828125,2022.33837890625,387.6000061035156,3050.949951171875
2021-03-10,516.1591186523438,1555.75,2227.85009765625,625.5999755859375,1368.1500244140625,206.5,1524.199951171875,2013.9390869140625,387.70001220703125,3070.949951171875
2021-03-12,514.5394897460938,1551.949951171875,2204.75,612.8499755859375,1374.8499755859375,205.1999969482422,1514.0,1973.004150390625,381.1000061035156,3057.949951171875
2021-03-15,513.2144165039062,1528.6500244140625,2210.85009765625,603.5,1373.5999755859375,205.4499969482422,1483.75,1946.5140380859375,383.8999938964844,3066.14990234375
2021-03-16,519.5455322265625,1512.1500244140625,2244.050048828125,594.9500122070312,1384.0,207.85000610351562,1461.800048828125,1938.8531494140625,378.54998779296875,3110.050048828125
2021-03-17,513.2634887695312,1495.3499755859375,2226.300048828125,589.5,1387.0,210.60000610351562,1437.6500244140625,1897.08740234375,368.1499938964844,3112.949951171875
