Date,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,UBL.NS,ULTRACEMCO.NS,WIPRO.NS
2021-02-01,531.6915893554688,2395.283935546875,707.5498046875,3719.405517578125,971.0825805664062,5010.82470703125,563.3734741210938,313.9412841796875,3334.933837890625,791.6775512695312,93.59093475341797,3395.83447265625,4343.91748046875,2775.941162109375,1108.6455078125,821.0258178710938,1437.0069580078125,692.762939453125,3078.540283203125,235.77694702148438,2151.2578125,593.5601196289062,947.7182006835938,1178.984375,47.11409378051758,189.0080108642578,364.322998046875,1798.0419921875,1411.3370361328125,770.2638549804688,7236.72314453125,1648.6849365234375,78.2533187866211,72.56620025634766,87.89311218261719,1731.4979248046875,297.34881591796875,24252.251953125,567.48193359375,569.8719482421875,278.7312927246094,57.16648864746094,2956.722412109375,859.552490234375,1487.85546875,1268.400390625,5657.77001953125,415.42913818359375
2021-02-02,539.5775146484375,2410.79345703125,712.3875732421875,3797.82177734375,946.5603637695312,5124.3427734375,583.0231323242188,325.9237365722656,3316.462890625,806.5999755859375,95.22332000732422,3479.17138671875,4397.23388671875,2836.482177734375,1172.0234375,844.285400390625,1518.5517578125,674.9248046875,3035.41259765625,249.6605682373047,2133.893310546875,606.88037109375,952.649169921875,1188.662109375,48.5894889831543,190.97727966308594,372.11932373046875,1857.727294921875,1480.8397216796875,791.28466796875,7486.00634765625,1658.584228515625,80.08206176757812,74.1636962890625,90.35912322998047,1759.362060546875,318.7862854003906,26118.78125,586.0406494140625,561.2869873046875,320.9995422363281,57.6652717590332,3017.09326171875,873.6539916992188,1471.902099609375,1274.083740234375,6031.46484375,422.18048095703125
2021-02-03,548.6880493164062,2401.00830078125,731.9378051757812,3829.368896484375,952.5285034179688,5195.5634765625,592.264404296875,331.4356994628906,3330.908203125,833.7451782226562,99.57637786865234,3608.24560546875,4561.1064453125,2848.248291015625,1172.860595703125,848.928466796875,1532.4183349609375,683.0015258789062,3115.54052734375,251.51821899414062,2136.189697265625,611.7955322265625,1023.83056640625,1201.19140625,50.08946990966797,189.7082061767578,375.8500671386719,1848.644775390625,1488.9736328125,807.1229248046875,7421.94921875,1656.2783203125,82.46367645263672,74.56306457519531,96.08218383789062,1763.79296875,321.5138244628906,25685.828125,605.031982421875,565.9697265625,329.9715881347656,58.69878387451172,3013.89111328125,895.787353515625,1511.2401123046875,1277.7900390625,5983.34912109375,427.2562561035156
2021-02-04,556.8189697265625,2350.27099609375,742.01220703125,3817.753173828125,968.9600219726562,5452.8603515625,584.2391357421875,334.3514404296875,3391.056640625,819.2153930664062,104.18340301513672,3606.921875,4579.15673828125,2893.702880859375,1170.546142578125,846.9385375976562,1536.6025390625,674.2807006835938,3170.740478515625,256.0157165527344,2148.387451171875,617.6446533203125,1007.817138671875,1196.2357177734375,50.950111389160156,201.26136779785156,382.928955078125,1906.7330322265625,1490.191162109375,839.3807373046875,7471.62939453125,1647.36328125,84.24990844726562,77.9976806640625,95.54710388183594,1757.9915771484375,339.8409118652344,26769.4140625,607.2435913085938,573.6766357421875,325.1366271972656,58.950416564941406,3002.9658203125,884.6066284179688,1499.79541015625,1274.380126953125,6089.82373046875,423.7081298828125
2021-02-05,555.3984985351562,2325.7578125,717.7738037109375,3824.758544921875,971.1224975585938,5486.24169921875,565.2703247070312,331.51556396484375,3354.73046875,832.2235107421875,102.18824005126953,3747.663330078125,4709.5771484375,2863.139404296875,1168.182373046875,836.7681884765625,1554.6046142578125,675.4202880859375,3160.14306640625,256.2112731933594,2171.30078125,603.7346801757812,1000.9334106445312,1189.4566650390625,50.35995864868164,205.1124267578125,384.74652099609375,1978.8941650390625,1477.235595703125,838.4119873046875,7328.99365234375,1651.3914794921875,84.63265991210938,77.9976806640625,96.36136627197266,1757.4891357421875,376.2079772949219,26405.6328125,610.3687133789062,578.0178833007812,314.9184875488281,61.56563949584961,2974.240234375,875.6619262695312,1495.6832275390625,1263.8043212890625,6256.578125,419.4207763671875
2021-02-08,570.1907958984375,2364.997802734375,734.2819213867188,3830.363037109375,1000.9737548828125,5445.77783203125,581.0289916992188,335.5497131347656,3290.3671875,831.78173828125,102.69608306884766,3707.85791015625,4767.3564453125,2900.489501953125,1192.50927734375,847.027099609375,1562.0487060546875,677.8978271484375,3220.780029296875,272.7347412109375,2139.825439453125,618.922607421875,1010.6976318359375,1218.863525390625,51.19600296020508,204.0183868408203,399.52606201171875,1953.393310546875,1511.62158203125,899.3434448242188,7407.67138671875,1661.276123046875,85.31311798095703,79.59518432617188,98.8971939086914,1782.795166015625,379.9882507324219,27689.556640625,610.2726440429688,582.50537109375,334.9062194824219,63.174312591552734,3027.123779296875,896.7913208007812,1527.6390380859375,1254.958251953125,6272.38623046875,429.03033447265625
2021-02-09,570.0928955078125,2453.06689453125,740.6157836914062,3755.743408203125,993.0427856445312,5349.29736328125,582.634033203125,334.9904479980469,3279.6630859375,826.3821411132812,101.02742767333984,3649.9140625,4751.9560546875,2878.274658203125,1199.55126953125,841.5879516601562,1568.4710693359375,698.5603637695312,3224.88134765625,271.8547668457031,2120.30810546875,622.6090087890625,1001.616943359375,1220.733642578125,51.778987884521484,200.4298858642578,388.8121032714844,1945.4085693359375,1525.8922119140625,866.98876953125,7458.96484375,1670.996826171875,85.01542663574219,80.67349243164062,98.0596694946289,1787.0889892578125,377.83489990234375,27831.45703125,604.88916015625,584.0663452148438,324.0400390625,62.837303161621094,2992.088134765625,889.9915771484375,1545.673095703125,1262.07470703125,6323.8505859375,433.0220642089844
2021-02-10,565.0968017578125,2456.736572265625,732.9352416992188,3752.715087890625,1021.6404418945312,5424.18359375,574.1224365234375,332.1546325683594,3244.09521484375,847.6369018554688,100.33818054199219,3676.974365234375,4732.28662109375,2833.015869140625,1212.7982177734375,848.530517578125,1539.18115234375,712.5830078125,3261.281982421875,273.1746826171875,2138.72509765625,621.4293823242188,998.6875610351562,1212.271484375,51.27550506591797,199.16079711914062,392.9255065917969,1948.3031005859375,1512.6444091796875,885.5394287109375,7453.7333984375,1657.334716796875,84.93035888671875,79.87474060058594,97.92007446289062,1803.6702880859375,375.3945007324219,27957.88671875,608.2841796875,586.066162109375,327.87811279296875,62.03296661376953,3026.370361328125,889.80908203125,1548.8935546875,1241.367919921875,6296.025390625,432.67706298828125
2021-02-11,579.7911376953125,2451.745849609375,738.2218017578125,3780.1494140625,1020.51171875,5514.47265625,581.8072509765625,337.0674743652344,3279.994873046875,844.1025390625,99.50382995605469,3680.40576171875,4733.267578125,2751.822509765625,1216.786865234375,858.214599609375,1530.0340576171875,707.7766723632812,3263.632080078125,288.8182373046875,2165.034423828125,619.954833984375,997.808837890625,1208.6717529296875,51.14301681518555,198.19801330566406,391.1079406738281,1957.23583984375,1490.873046875,885.5878295898438,7498.376953125,1679.9986572265625,85.32498168945312,79.4354248046875,99.45553588867188,1878.035400390625,373.3847351074219,28007.736328125,624.3377075195312,595.4315185546875,323.990234375,62.43288803100586,3019.494873046875,899.5751342773438,1510.7940673828125,1250.4610595703125,6330.4990234375,430.7059020996094
2021-02-12,604.036865234375,2432.76220703125,748.4957275390625,3738.7041015625,1026.7197265625,5524.7744140625,570.280029296875,333.991943359375,3240.68505859375,833.0579833984375,97.10965728759766,3646.62939453125,4700.84619140625,2715.791259765625,1223.3363037109375,849.3706665039062,1539.3756103515625,704.5559692382812,3239.90185546875,284.3206787109375,2144.512939453125,636.6173706054688,1003.17919921875,1224.7076416015625,50.401039123535156,190.32086181640625,386.2770690917969,1947.304931640625,1481.9599609375,880.1146240234375,7401.70556640625,1668.61865234375,84.14112091064453,77.4784927368164,98.9437255859375,1865.1539306640625,376.2558288574219,27633.876953125,608.3327026367188,592.6512451171875,324.38897705078125,61.156734466552734,3005.17919921875,904.6863403320312,1480.572265625,1238.748779296875,6301.048828125,435.6338806152344
