,Date,AMAR Value,Qkrishi Value
0,2023-02-28,1592502.0,1592506.0
1,2023-05-31,1724596.0,1723983.0
2,2023-08-31,1716914.0,1707697.0
3,2023-11-30,1815505.0,1802649.0
4,2024-02-23,1872389.0,1858989.0
